,place,text, artist
21,24,"""Снова скандал, что-то сломал
Я свои нервы тобой потрепал
Я однажды убью, так довела
От твоей любви я до фильтра курю
Пилишь словно пила
Пишешь слова
Это провал, да и ты не права
Не признаёшься — не надо
Давай, до свидания, пока

Ай-яй-яй-я
Споришь словно дикая
Любишь как наивная
Сердцем ты ревнивая
Ай-яй-яй-я
То без яда, то змея
То чужая, то моя
Дикая, упрямая
Ай-яй-яй-я

Сотни звонков, рядом был кто
Наговорила мне столько всего
Ай, бала, бала долго просил
Взял телефон твой об стену разбил
Мне терпеть нету сил
Твоя вина, всё перероешь, найди мой обман
Лишь после ссоры поверишь, что в жизни моей ты одна

Ай-яй-яй-я
Споришь словно дикая
Любишь как наивная
Сердцем ты ревнивая
Ай-яй-яй-я
То без яда, то змея
То чужая, то моя
Дикая, упрямая
Ай-яй-яй-я

Ай-яй-яй-я
Споришь словно дикая
Любишь как наивная
Сердцeм ты ревнивая
Ай-яй-яй-я
То без яда, то змея
То чужая, то моя
Дикая, упрямая

Ай-яй-яй-я

(Ай-яй-яй-я)

(Ай-яй-яй-я)""",Ислам Итляшев
22,25,"""Хотя бы раз давай будем честны
Нам тесно быть вместе
Хотя бы раз давай будем честны (damn, Aarne goin' crazy on these motherf...)
Нам тесно быть вместе (по-по-по-по, ыр)

Хотя бы раз давай будем честны
Нам тесно (go) быть вместе (по-по-по)
Хотя бы раз давай будем честны
Нам тесно (go) быть вместе (по-по-по)

(А) Йоу, нам тесно быть вместе
Я больше никогда не назову тебя bestie (факты, факты, факты)
Нам тесно быть вместе
Мои мозги кипят, если говорить без лести (факты, факты, факты)
Нам тесно быть вместе
Я больше не сяду рядом с тобой в этом ресте (факты, факты, факты)

Нам тесно быть вместе
Сука, пойми, нам тесно быть вместе (go)
Мне так не по кайфу, сука, пойми (у)
Вижу только числа, я типа в IT, эй (р-ра)
Сижу перед микро в своей white T (гэнг)
Мне так не по кайфу, сука, пойми

А, а, не делай мне мозг (не делай мне мозг)
Хотя бы раз не делай мне мозг (а, а)
Не делай мне мозг
Бля, хотя бы раз не делай мне мозг (по-по-по, go)

Хотя бы раз давай будем честны
Нам тесно быть вместе (эй, эй, go)
Хотя бы раз давай будем честны
Нам тесно быть вместе (пау, по-по-по, ыр, go)

Йоу, мне с тобой очень мило (муа)
Она меня любит, как Дора любит пиво (по)
Я не понимаю девушек — не даю им мотива
Но вот эта детка меня очень сильно зацепила, а, а
Да, я тот ещё мудила (у)
Твой любимый парень не с повышенным либидо
Меня сильно осаждало, когда сильно осадило (бр-р)

Да, я не курю давно, но я б с тобой дунул тротила
У, у, говоришь, что ты любила (гэнг)
Если не был рядом — это было некрасиво
Меня не пугает то, что ты прошла бы меня мимо
Нас опять тянет на дно, и мы опять как два дебила
А, а, е, е, у, у, damn, damn
Я тебя сильно люблю, но с тобой много проблем (по-по-по), ай

Хотя бы раз давай будем честны
Нам тесно быть вместе
Хотя бы раз давай будем честны
Нам тесно быть вместе (по-по-по-по, ыр)

Хотя бы раз давай будем честны
Нам тесно быть вместе (hold on, hold on)
Хотя бы раз давай будем честны
Нам тесно быть вместе (по-по-по-по, ыр)""",Aarne feat BUSHIDO ZHO feat ANIKV
23,26,"""Ты, ты, ты зацепила меня (зацепила)
Я, я, я в тебя без ума
Знаешь, я же нечаянно
Просто вот так случайно
Безумно в тебя влюблён, эй

На тебя смотрю, теряюсь
Не доходит всё
Что я поплыл, доплыл, приплыл
И вдруг пошёл на дно
Исчезли все слова, да и не факт
Что вовсе были

Рядом с тобой мозги отбой
И за собой закрыли
И вроде не к лицу мне
Все эти шуры-муры
Но под окном твоим с гитарой
Истоптал бордюры

И знай, что если моё сердце
Вдруг полюбило
Плевать на всё, кружи ещё
Ой, как ты зацепила

Ты, ты, ты зацепила меня (зацепила)
Я, я, я в тебя без ума
Знаешь, я же нечаянно
Просто вот так случайно
Безумно в тебя влюблён, эй

Ты, ты, ты зацепила меня (зацепила)
Я, я, я в тебя без ума
Знаешь, я же нечаянно
Просто вот так случайно
Безумно в тебя влюблён, эй

Стою как вкопанный
И не могу понять
Что со мной ты сделала
Что не могу дышать
Я тебя нашёл, и некуда бежать
Смотрю в твои глаза
И хочу тебе сказать

Ты, ты, ты зацепила меня (зацепила)
Я, я, я в тебя без ума
Знаешь, я же нечаянно
Просто вот так случайно
Безумно в тебя влюблён, эй

Ты, ты, ты зацепила меня (зацепила)
Я, я, я в тебя без ума
Знаешь, я же нечаянно
Просто вот так случайно
Безумно в тебя влюблён, эй""",Chris Yank
24,27,"""Всё не то, всё не так
Я твой друг, ты мой враг
Как же так всё у нас с тобою

Я помню этот день с тобой, он навечно судный
Твой бой до сих пор не свой, только больше суммы
Воспоминания о нас, в них тону, как судно
Мы слишком одинаковы, только разные судьбы

Снова неделя без тебя — это ещё плюс семь
Снова твой номер на уме, когда ввожу плюс семь
Вчера мы рокали концерт, это ещё плюс семь (о, да)
Столько капусты на счетах, будто живу в Брюссель (кэш-кэш-кэш)

Ищу свет в тёмных аллеях, где Моя Мишель (где)
Через Арбат до набережной, как группа Марсель
Тебя я не вернул, лишь день, когда мы встретились
Я календарь перевернул, и там снова третье

Я календарь переверну, и снова третье сентября
На фото я твоё взгляну, и снова третье сентября
Но почему? Но почему расстаться всё же нам пришлось
Ведь было всё у нас всерьёз второго сентября

Во-первых, ты растопила сердце мне, как Герда
Нас двое, и в два счёта пролетело лето
Третий звонок, шестой гудок, опять без ответа
То, что мы делали во тьме — восьмое чудо света

Сколько раз про тебя я сказал (сколько)
Пацанам во дворах по ночам (а-а-а)
Сколько раз без тебя умирал (I'm dead)
За тебя пойду на криминал (пиу-пиу)

Числа на листах летят, ведь их тоже бросили
Так всегда листья падают на землю осенью
Тебя я не вернул, лишь день, когда мы встретились
Я календарь перевернул, и там снова третье

Я календарь переверну, и снова третье сентября
На фото я твоё взгляну, и снова третье сентября
Но почему? Но почему расстаться всё же нам пришлось
Ведь было всё у нас всерьёз второго сентября
Но почему? Но почему расстаться всё же нам пришлось
Ведь было всё у нас всерьёз второго сентября

Третье сентября — день прощанья
День, когда горят (когда горят) костры рябин
Как костры, горят обещанья
В день, когда я совсем один""",ЕГОР КРИД feat Михаил Шуфутинский
25,28,"""Близко весна
Сердце как поплавок
Леска, блесна
Я проглочу крючок

Сгинет в волнах
Немота и штиль любви
И невольно
Плыви ко мне, плыви

Жду тебя на дне
Мне нравятся парни помутней
Кругом голова, о, да, о, о, да
В тебе слишком много CO2
Много CO2

Много CO2

Кто-то вдруг стал
Рыбкой, а не ловцом
Мой вдох в уста
И на руке кольцо

Эти жабры
Жадно тянут воздух в кровь
Впусти храбро
В лёгкие любовь

Жду тебя на дне
Мне нравятся парни помутней
Кругом голова, о, да, о, о, да
В тебе слишком много CO2
Много CO2

Брось копья и сети
Любовь возможно только встретить
Ты ставишь капканы
Но у судьбы на тебя есть планы

Жду тебя на дне
Мне нравятся парни помутней
Кругом голова, о, да, о, о, да
В тебе слишком много CO2

Много CO2

Много CO2""", DJ SMASH feat Artik & Asti
26,29,"""Хочешь мы построим дом?
Из Лего деталек
Как будто мы маленькие
Но по-настоящему

Хочешь будем мы вдвоём?
Петь под гитару
Прости, если парю
И слишком навязчивый

Я увидел тебя и действовал по инструкции
Собирал по крупинкам к сердцу тропинку
Лишь бы коснуться рук твоих
Так боялся что не совпадём, не сладим, не склеимся
Но мы как две Лего детали
Походу совпали

Мы как конструктор Лего
Может быть построим
Чистую и светлую
Крепкую историю

Как конструктор Лего
Сжимаем ладони
Как детали по схеме
Мы друг другу подходим

Строили но однажды чуть не сберегли
Мы запутались, как лабиринт
Потерялись как детальки под диваном
Собери по кусочкам фотографии
Мы сложились в одно целое
Совпали пазлом

Мы как конструктор Лего
Может быть построим
Чистую и светлую
Крепкую любовь (как? М-м)

Как конструктор Лего
Сжимаем ладони
Как детали по схеме
Мы друг другу подходим

Как конструктор Лего
Может быть построим
Чистую и светлую
Крепкую историю

Как конструктор Лего
Сжимаем ладони
Как детали по схеме
Мы друг другу подходим""",Ваня Дмитриенко
27,30,"""Не смотри на меня, я сам себе враг
Я тебя променял и всех потерял
Вокруг никого, я иду в одного
Я дурак был болен тобой, но не повезло

И опять капкан
Мысли в голове забиты полностью тобой, я пьян
Я тобою пьян
Я больше не найду покой

А я по полю да по полюшку приду к тебе
Я по полю да по полюшку приду к тебе за тысячу вёрст
К тебе за тысячу вёрст

Я с переломанным крылом
Но прилечу к тебе
Я с переломанным крылом
Но прилечу к тебе, за тысячу звёзд
К тебе за тысячу звёзд

А я по полю да по полюшку приду к тебе
Я по полю да по полюшку приду к тебе за тысячу вёрст
К тебе за тысячу вёрст

Я с переломанным крылом
Но прилечу к тебе
Я с переломанным крылом
Но прилечу к тебе, за тысячу звёзд
К тебе за тысячу звёзд

И снова эта ночь
Что длится бесконечно
Я уже на самом дне
Останусь тут навечно

И в твоих руках тепло, ведь ты так безупречна
Но снова не со мной, ведь для тебя я бессердечный
И снова эта боль

Мы снова играем роли
Как к счастливой жизни с тобой подобрать пароли
Ведь ты давно не та
А я всё тот же что-ли?
Просто протяни ладонь и дай ты чувствам волю

А я по полю да по полюшку приду к тебе
Я по полю да по полюшку приду к тебе за тысячу вёрст
К тебе за тысячу вёрст

Я с переломанным крылом
Но прилечу к тебе
Я с переломанным крылом
Но прилечу к тебе за тысячу звёзд
К тeбе за тысячу звёзд""",Akmal'
28,31,"""Я автор лайфа
Мои мысли запутаны
Моя life on
Надвигает тайфун

Я автор лайфа, тут у майка
Вайб Ямайка, шагаю в Nik'ах
Мои мысли запутаны, а я мимо них
Моя life on надвигает тайфун

Автор лайфа, тут у майка
Вайб Ямайка, шагаю в Nik'ах
Мои мысли запутаны, а я мимо них
Моя life on надвигает тайфун

Беззаботная суета
Так манила миражами, люди бегут в никуда (да-а)
Бумага всему голова
И как бы ты не отрицал, ман, потеряли нрав, потеряли честь

В поисках бабла мимо добрых дел
Пока я потел, пробивая путь себе
Набирая обороты, поднимаюсь ввысь
Мимо хейта лис поднимаюсь ввысь

Хвала небесам
Уповая на тебя my God
Пробираюсь там
Где другие сдавали назад

Хвала небесам
Уповая на тебя my God
Пробираюсь там
Где другие сдавали назад

Я автор лайфа, тут у майка
Вайб Ямайка, шагаю в Nik'ах
Мои мысли запутаны, а я мимо них
Моя life on надвигает тайфун

Автор лайфа, тут у майка
Вайб Ямайка, шагаю в Nik'ах
Мои мысли запутаны, а я мимо них
Моя life on надвигает тайфун

Кто хотел тот добывал
Намотал сопли на кулак
Встал и дал миру по ушам
Или как ты там хотел о себе тут заявить?
Что ты сделал чтобы до цели дойти? (а)

А я выбираю love, выбираю life
Выбираю жить в кайф
It's my rastafarai
It's my rasafarai

Мама please don't cry
Your son с окраин улучшает life
Мама please don't cry
Мама please don't cry (мама ай-я-я-я-я)

Я автор лайфа, тут у майка
Вайб Ямайка, шагаю в Nik'ах
Мои мысли запутаны, а я мимо них
Моя life on надвигает тайфун

Автор лайфа, тут у майка
Вайб Ямайка, шагаю в Nik'ах
Мои мысли запyтаны, а я мимо них
Моя life on надвигает тайфун""",DZHIVAN
29,32,"""Я больше не летаю и даже не мечтаю
Я все секреты знаю твои
Когда бывает грустно, просто в бокале пусто
Это не связано с тобой, прости

Стрелки часы разгоняют
И по чуть-чуть отпускает
Говорят, что время лечит
Но, походу, портит печень
Ещё один глоток, и после выдоха вдох

Позвони мне, позвони
Позвони мне, ради Бога
Приезжай и обними
Всё равно, что скажет кто-то
Рано или поздно

Позвони мне, позвони
Может, это не про гордость
Над Москвой горят огни
Я хочу услышать голос
Позвони мне, позвони

А помнишь эти фото, билет Аэрофлота?
И пять минут до взлёта
Ты говорил, я – космос, твоя Вселенная
Как оказалось, параллельная

Но меня манит, манит
Ты – мой наркотик, магнит
И сердце будто горит, стреляй
Да-да, я всё понимаю
Чувствую, как я теряю, пускай

Стрелки часы разгоняют
И по чуть-чуть отпускает
Говорят, что время лечит
Но, походу, портит печень
Ещё один глоток, и после выдоха вдох

Позвони мне, позвони
Позвони мне, ради Бога
Приезжай и обними
Всё равно, что скажет кто-то
Рано или поздно

Позвони мне, позвони
Может, это не про гордость
Над Москвой горят огни
Я хочу услышать голос
Позвони мне, позвони""",DJ SMASH feat NIVESTA
30,33,"""Наши лампочки сгорели
Мы друг другу надоели
Наши сосенки, да ели
Ой завяли, заболели

Наши лампочки сгорели
Мы друг другу надоели
Наши сосенки, да ели
Ой завяли, заболели

Снова мы с тобою будто на войне
Сильно ты засела в моей голове
Юзаешь меня, а я не твой трофей
Если разлюбила - так убей

С тобою мы как будто на Титанике
Вот-вот утонем, айсберг виден вдалеке
И больше не нужны эти свидания
Давай до свидания

Наши лампочки сгорели
Мы друг другу надоели
Наши сосенки, да ели
Ой завяли, заболели

Наши лампочки сгорели
Мы друг другу надоели
Наши сосенки, да ели
Ой завяли, заболели

Ой завяли, заболели
Между нами ой метели
И снова холодное море (холодное море)
Нас волною накроет

С тобою мы как будто на Титанике
Вот-вот утонем, айсберг виден вдалеке
И больше не нужны эти свидания
Давай до свидания

Наши лампочки сгорели
Мы друг другу надоели
Наши сосенки, да ели
Ой завяли, заболели

Наши лампочки сгорели
Мы друг другу надоели
Наши сосенки, да ели
Ой завяли, заболели

Наши лампочки сгорели
Мы друг другу надоели
Наши сосенки, да ели
Ой завяли, заболели

Наши лaмпочки сгорели
Наши сосенки, да ели""",Galibri & Mavik
31,34,"""Когда заходит он
Все смотрят только на него
Он из тех мужчин
С кем как за каменной стеной

Он словно из кино
Решительный, холодный взгляд
Кто твоя Мадлен, Бонд
Стоп, это же я

Все постоянно говорят
Что счастье любит тишину
А я хочу, чтобы на нас
Глядя, плакал Голливуд

Все постоянно говорят
Что счастье любит тишину
А я хочу, чтобы на нас
Глядя, плакал Голливуд

В моей копилке много разбитых сердец
И каждый так хотел счастливый конец
И каждый так надеялся на что-то большее
А мне, кроме тебя, никто не нужен больше

И если против нас будет весь мир
Я не перестану тебя любить
И даже если вдруг за нами погоня
Ты будешь стрелять, я – подавать патроны

Все постоянно говорят
Что счастье любит тишину
А я хочу, чтобы на нас
Глядя, плакал Голливуд

Все постоянно говорят
Что счастье любит тишину
А я хочу, чтобы на нас
Глядя, плакал Голливуд

Все постоянно говорят
Что счастье любит тишину
А я хочу, чтобы на нас
Глядя, плакал Голливуд

Все постоянно говорят
Что счастье любит тишину
А я хoчу, чтобы на нас
Глядя, плакал Голливуд""",Люся Чеботина
32,35,"""Йе, что-то соединяет тусклый свет из наших окон
Каждый в поисках прекрасного далека
И мы пиздец по-своему одиноки
Но катимся вперед по серым бетонным блокам
Вот как, с Богом
Дождь в лобовое, впереди дорога
Сломан, но пульс есть, если хочешь потрогай, а
Доблесть и честь, пацан
Жизнь подносит спичку: поджигай, пацан

И я взрываю за всех, кого нет с нами
За-за-за всех, кто на нас ставил
Я взрываю за всех тех, кто на спальном
С добрым сердцем и на оскале
Я с вами, факел в небо

За всех, кого нет с нами
За-за-за всех, кто на нас ставил
Я взрываю за всех тех, кто на спальном
С добрым сердцем и на оскале
Я с вами

А, скорость забирает молодых
Дороги на айфоне и гонки на кольцевых
Тут пацанов увозят в летальных ножевых
Время делит их на живых и неживых
Молодость на скоростях, от нее не убежишь
Молодость на ножах, но у нас тоже ножи
Район расфасовал, упаковал и разложил
Адреса и этажи, телки и куражи

И я взрываю за всех, кого нет с нами
За-за-за всех, кто на нас ставил
Я взрываю за всех тех, кто на спальном
С добрым сердцем и на оскале
Я с вами, факел в небо
За всех, кого нет с нами
За-за-за всех, кто на нас ставил
Я взрываю за всех тех, кто на спальном
С добрым сердцем и на оскале
Я с вами""",MACAN
33,36,"""Вспоминаю

Как я бегу к тебе в дождь целоваться
Как ты кричишь на весь мир: Он пришёл!
Нас только двое, нам по 18
Ты меня любишь, и всё хорошо

Как я хотел бы с тобою остаться
А не стереть все мечты в порошок
Но мы пропали тогда в 18
И нас никто никогда не нашёл

Там был шторм, надо было спасаться
Вспоминай наш последний полёт
Небо раз в год, небо раз в год
Плачет раз в год

Это путь, и не надо стесняться
Наши души не каждый поймёт
Мне бы раз в год, мне бы раз в год
Снова вспомнить тот вкус твоих губ

Ты отпускай меня (хуже не будет)
Память кусками (обрывками снов)
Время безжалостно всех нас забудет
Время всегда убивает любовь

Я изменился (меня не узнаешь)
Кровь не бурлит (это просто вода)
Новая жизнь, ты меня понимаешь
Но по ночам, как и ты, иногда

Вспоминаю

Как я бегу к тебе в дождь целоваться
Как ты кричишь на весь мир: Он пришёл!
Нас только двое, нам по 18
Ты меня любишь, и всё хорошо

Как я хотел бы с тобою остаться
А не стереть все мечты в порошок
Но мы пропали тогда в 18
И нас никто никогда не нашёл

Как я бежал, как летел
То была жажда, кипение тел
Я ведь обидеть тебя не хотел
Одержимый тобой, но любимый тобой

Нам бы двоим одно сердце
Одни мечты, одни раны
Наверно, море рассердится
Но забытый тобой, как сметённый волной

Ты отпускай меня (хуже не будет)
Память кусками (обрывками снов)
Время безжалостно всех нас забудет
Время всегда убивает любовь

Я изменился (меня не узнаешь)
Кровь не бурлит (это просто вода)
Новая жизнь, ты меня понимаешь
Но по ночам, как и ты, иногда

Вспоминаю

Как я бегу к тебе в дождь целоваться
Как ты кричишь на весь мир: Он пришёл!
Нас только двое, нам по 18
Ты меня любишь, и всё хорошо

Как я хотел бы с тобою остаться
А не стереть все мечты в порошок
Но мы пропали тогда в 18
И нас никто никогда не нашёл

Вспоминаю

Вспоминаю""",NЮ
34,37,"""И бежать мне больше некуда, не к кому, незачем
Обижать мне больше некого, обиды – мелочи
И ты спросишь: Чё ты не звонил? Не искал? И молчал
А я отвечу: Просто я дебил, но я любил, я скучал

Падает земля, солнце катится
Упадёт ночь, нам не спрятаться
Там за стеной танцевали тени
Кто мы с тобой? Кто мы такие

Догорит ночь там на берегу
Уходи прочь, не уберегу
Это не игра, небо на кону
Лучше убегай, я твой рай не верну

Сгорела душа, догорели мосты
В никуда бежал, еле-еле остыл
Кончилась вина, поселилась печаль
Поздно так кричать

И бежать мне больше некуда, не к кому, незачем
Обижать мне больше некого, обиды – мелочи
И ты спросишь: Чё ты не звонил? Не искал? И молчал
А я отвечу: Просто я дебил, но я любил, я скучал

Я смотрю на тебя, и мне кажется, звёзды погаснут от зависти
Ты меня даже мёртвого смехом своим легко могла завести
И всегда повторяла: Мы ходим по краю пропасти
А покой – это для дураков, это глупости

Ты моя навсегда, ты моя, ты сама это знаешь
Всё закончим в конце января, души не переплавишь
Но я помню одно: если ты не живёшь, ты умираешь
Жизнь – такое кино, если плохо сыграл, не переиграешь

И бежать мне больше некуда, не к кому, незачем
Обижать мне больше некого, обиды – мелочи
И ты спросишь: Чё ты не звонил? Не искал? И молчал
А я отвечу: Просто я дебил, но я любил, я скучал

Ты мне скажешь тихо: Уходи, ну как ты так, как ты мог
И ты крикнешь: Ты двоих убил, сам нажал на курок
Я безмолвно ухожу теперь, чтоб тебе не мешать
Но я знаю то, что не любить значит и не жить, не дышать""", NЮ
35,38,"""Ты верна только ему, засыпаешь с ним
Но как только позвоню — ты уже в такси
Я могу тебя вернуть, если захочу
Но ты будь верна ему, если я молчу

Тот парень дал тебе всё то, что я, всё то, что я не могу
Твои друзья, твои друзья не соврут
Что для тебя лучше него точно нет
Раскрой секрет

Что ты звонишь мне ночью и плачешь от боли
Что ты всё ещё хочешь ответить на stories
Что ты не удалила мой номер и фото
Что ты нас не забыла и даже не хочешь

Но ты звонишь мне ночью и плачешь от боли
Что ты всё ещё хочешь ответить на stories
Что ты не удалила мой номер и фото
Что ты нас не забыла и даже не хочешь

У-у, у тебя там новый этап
Ты сумела, ты смогла
Baby, знай, я больше тебя
Не держу в своих руках
Верю что, хотя бы сейчас
Не упустишь этот шанс

Тот парень дал тебе всё то, что я, всё то, что я не могу
Твои друзья, твои друзья не соврут
Что для тебя лучше него точно нет
Раскрой секрет

Что ты звонишь мне ночью и плачешь от боли
Что ты всё ещё хочешь ответить на stories
Что ты не удалила мой номер и фото
Что ты нас не забыла и даже не хочешь

Но ты звонишь мне ночью и плачешь от боли
Что ты всё ещё хочешь ответить на stories
Что ты не удалила мой номер и фото
Что ты нас не забыла и даже не хочешь""",The Limba
36,40,"""О-о-о
Е-е-е, е-е-е, е
Окей

Я в беге за своей судьбой
Перелёты, работа, сон
Кто-то скажет, что я стал другой
Нас жизнь меняет, но я
Всё так же вспоминаю наш weekend
Вкус губ твоих медовый
Мы растворяемся среди планет

И как бы не старался — никак, никак, никак
Тебя мне разлюбить никак
Никак, никак, никак
И как мне разлюбить тебя?
Ну как? Ну как? Ну как?
И как бы не старался — никак
Никак, никак, никак
И как мне разлюбить тебя?

(Ау) давно я бегаю за правдой
Не найду, не найду ответ
Моя жизнь ей кажется загадкой
Но знай, что тайны в ней нет
Я просто не могу забыть weekend
Прожить бы всё по-новой
Вновь раствориться бы в пыли планет

И как бы не старался — никак, никак, никак
Тебя мне разлюбить никак
Никак, никак, никак
И как мне разлюбить тебя?
Ну как? Ну как? Ну как?
И как бы не старался — никак
Никак, никак, никак
И как мне разлюбить тебя?

И как бы не старался — никак (никак), никак (никак), никак
Тебя мне разлюбить никак (никак)
Никак, никак, никак (оу-ей-о-о-оу-оу)
И как мне разлюбить тебя?
Ну как? Ну как? Ну как? (Ну как?)
И как бы не старался — никак
Никак, никак, никак
И как мне разлюбить тебя?""",JONY
37,41,"""Yeah, yeah
Остап Пaрфёнов

Ты смотрел налево, примечая себе цель
Как ты хочешь королеву, когда ты простой кобель?
Ты смотрел налево, примечая себе цель
Как ты хочешь королеву, когда ты простой кобель?

Детка, прости меня, я не такой
Я неплохой, я извинюсь, ведь я верю в любовь
Зайка, прости меня, прошу тебя
Давайте все вместе: Пошёл ты...

Нахуй-нахуй, да, вот твоя дорога
Надо-надо головы гонять с порога
Нахуй-нахуй тебя и твои загоны
Мальчик, повторю ещё разок

Ты смотрел налево, примечая себе цель
Как ты хочешь королеву, когда ты простой кобель?
Ты смотрел налево, примечая себе цель
Как ты хочешь королеву, когда ты простой кобель?

Ты смотрел налево, примечая себе цель
Как ты хочешь королеву, когда ты простой кобель?
Ты смотрел налево, примечая себе цель
Как ты хочешь королеву, когда ты простой кобель?

Бедную девчулю обижали (обижали)
Не любили и не целовали (целовали)
Её чувства нагло растоптали (растоптали)
Одним словом просто — наеб

Ты смотрел налево, примечая себе цель
Как ты хочешь королеву, когда ты простой кобель?
Ты смотрел налево, примечая себе цель
Как ты хочешь королеву, когда ты простой кобель?

Ты смотрел налево, примечая себе цель
Как ты хочешь королеву, когда ты простой кобель?
Ты смотрел налево, примечая себе цель
Как ты хочешь королеву, когда ты простой кобель?""",Остап Парфёнов feat Nvkrn134
38,42,"""Я как Чак Норрис
Я очень крутой
А ты не хочешь
Дружить со мной

Я как Чак Норрис
Я go-go up
Хватит игнорить
Зайди в WhatsApp

Я как Чак Норрис
Я очень крутой
А ты не хочешь
Дружить со мной

Я как Чак Норрис
Я go-go up
Хватит игнорить
Зайди в WhatsApp

За тобою я хожу
Твои сторисы смотрю
И никак не нагляжусь
Я на эту красоту

А быть может я дурак
Размечтался просто так
Ну подмигни мне хоть разок
На Бора-Бора отвезу

Я твой техасский рейнджер
Ты моя Мадонна
Убила меня взглядом
А мне совсем не больно

Делаешь двойной удар
Я включил антирадар
И между нами
Ой какой пожар

Как Чак Норрис
Я как Чак Норрис

Я как Чак Норрис
Я очень крутой
А ты не хочешь
Дружить со мной

Я как Чак Норрис
Я go-go up
Хватит игнорить
Зайди в WhatsApp

Я как Чак Норрис
Я очень крутой
А ты не хочешь
Дружить со мной

Я как Чак Норрис
Я go-go up
Хватит игнорить
Зайди в WhatsApp

А я уже билеты нам купил
И на моря тебя позвал
К тебе уверенно я подкатил
Вот такой вот сериал

Как Чак Норрис
Я как Чак Норрис

Я как Чак Норрис
Я очень крутой
А ты не хочешь
Дружить со мной

Я как Чак Норрис
Я go-go up
Хватит игнорить
Зайди в WhatsApp

Я как Чак Норрис
Я очень крутой
А ты не хочешь
Дружить со мной

Я как Чак Норрис
Я go-go up
Хватит игнорить
Зайди в WhatsApp

Я как Чак Норрис
Я очень крутой
А ты не хочешь
Дружить со мной

Я как Чак Норрис
Я go-go up
Хватит игнорить
Зайди в WhatsApp

Я кaк Чак Норрис""",Galibri & Mavik
39,43,"""Там, где играется солнце ясное
Там, где закаты ночей прекрасней
Там я и время, и боль, и счастье разделю с тобой
Пусть на душе моей всегда пасмурно
Знаю, что мне подарит сказку
Чёрная-чёрная, но прекрасная твоя любовь

Забрала моё сердце
Растворила его в омуте бездонных глаз
Я готов в них исчезнуть
Дай мне только повод, я в них утону тот час

Ещё раз, хотя бы ещё раз
Увидеть мне тебя в толпе уставших лиц
Верю в нас, я правда верю в нас
Мы с тобой сможем всё, что было, отпустить

Я тобой так дорожу
Так дорожу
Все чужие голоса, как белый шум
Я об одном лишь прошу, давай просто убежим

Там, где играется солнце ясное
Там, где закаты ночей прекрасней
Там я и время, и боль, и счастье разделю с тобой
Пусть на душе моей всегда пасмурно
Знаю, что мне подарит сказку
Чёрная-чёрная, но прекрасная твоя любовь

С неба падают звёзды
Разбиваясь на осколки одинокие
Ты во мне видишь грёзы
Но я не звёзды, я кристалла отражение

Дай мне шанс, я уничтожу боль
В нём гаснет ураган, во мне горит огонь
За тобой, я буду за тобой
В долгую идти

Я тобой так дорожу
Так дорожу
Все чужие голоса, как белый шум
Я об одном лишь прошу, только не спеши

Там, где играется солнце ясное
Там, где закаты ночей прекрасней
Там я и время, и боль, и счастье разделю с тобой
Пусть на душе моей всегда пасмурно
Знаю, что мне подарит сказку
Чёрная-чёрная, но прекрасная твоя любовь""",ELMAN feat MONA
40,44,"""Зачем морочила мне голову?
Сегодня нет, а завтра да
У ног твоих могло бы быть золото
И душа к душе всегда

Зачем ты слушаешь пoдруг своих?
Они завидуют тебе так страшно
Это касалось лишь нас двоих
Но уже не важно

Газ в пол, я лечу, мне сносит крышу
Люблю и ненавижу
А в машине грустный трек играет
Он разрывает

Почему ты не ценила раньше?
И вот, что будет дальше
Мне до тебя не будет дела
Получила, что хотела

(Нет дела, надоело)

(Получила, что хотела)

Наступит день и ты поймёшь
Как бесполезна твоя гордость
Но время вспять не повернёшь
Будет слишком поздно

И не пройдёт эта боль в душе
И нам двоим с ней жить придётся
Но в сердце для тебя уже
Места не найдётся

Газ в пол, я лечу, мне сносит крышу
Люблю и ненавижу
А в машине грустный трек играет
Он разрывает

Почему ты не ценила раньше?
И вот, что будет дальше
Мне до тебя не будет дела
Получила, что хотела

(До тебя мне нету дела)
(Нет дела, надоело)

(До тебя мне нету дела)
(Получила, что хотела)

Газ в пол, я лечу, мне сносит крышу
Люблю и ненавижу
А в машине грустный трек играет
Он разрывает

Почему ты не ценила раньше?
И вот, что будет дальше
Мне до тебя не будет дела
Получила, что хотела""",Султан Лагучев
